old  12:                 snp.dbid            = &m_dbid
new  12:                 snp.dbid            = 3990489666
old  13:         and     snp.instance_number = &m_instance
new  13:         and     snp.instance_number =          1
old  19:         and     sst.stat_name       like ('%&m_stat_name%')
new  19:         and     sst.stat_name       like ('%CPU used by this session%')

START_OF_DELTA        PREV_VALUE STAT_NAME                                                              CURR_VALUE            VALUE
=============== ================ ================================================================ ================ ================
May-14 15:00:11        3,090,543 CPU used by this session                                                        0       -3,090,543
May-14 16:00:26        3,809,309 CPU used by this session                                                        0       -3,809,309
May-14 16:00:26                0 IPC CPU used by this session                                            3,861,888        3,861,888
May-14 16:00:26        3,809,309 CPU used by this session                                                        0       -3,809,309
May-14 16:00:26        3,809,309 CPU used by this session                                                3,861,888           52,579
May-14 16:00:26                0 global enqueue CPU used by this session                                         0                0
May-14 16:00:26                0 global enqueue CPU used by this session                                         0                0
May-14 16:00:26                0 global enqueue CPU used by this session                                         0                0
May-14 16:00:26                0 global enqueue CPU used by this session                                 3,861,888        3,861,888
May-14 16:00:26                0 gc CPU used by this session                                                     0                0
May-14 16:00:26                0 gc CPU used by this session                                                     0                0
May-14 16:00:26                0 gc CPU used by this session                                                     0                0
May-14 16:00:26                0 gc CPU used by this session                                             3,861,888        3,861,888
May-14 16:00:26                0 IPC CPU used by this session                                                    0                0

START_OF_DELTA        PREV_VALUE STAT_NAME                                                              CURR_VALUE            VALUE
=============== ================ ================================================================ ================ ================
May-14 16:00:26                0 IPC CPU used by this session                                                    0                0
May-14 16:00:26                0 IPC CPU used by this session                                                    0                0
May-14 16:00:26        3,809,309 CPU used by this session                                                        0       -3,809,309
May-14 17:00:40        3,861,888 CPU used by this session                                                        0       -3,861,888
May-14 17:00:40                0 IPC CPU used by this session                                            3,941,319        3,941,319
May-14 17:00:40        3,861,888 CPU used by this session                                                        0       -3,861,888
May-14 17:00:40        3,861,888 CPU used by this session                                                3,941,319           79,431
May-14 17:00:40                0 global enqueue CPU used by this session                                         0                0
May-14 17:00:40                0 global enqueue CPU used by this session                                         0                0
May-14 17:00:40                0 global enqueue CPU used by this session                                         0                0
May-14 17:00:40                0 global enqueue CPU used by this session                                 3,941,319        3,941,319
May-14 17:00:40                0 gc CPU used by this session                                                     0                0
May-14 17:00:40                0 gc CPU used by this session                                                     0                0
May-14 17:00:40                0 gc CPU used by this session                                                     0                0
May-14 17:00:40                0 gc CPU used by this session                                             3,941,319        3,941,319
May-14 17:00:40                0 IPC CPU used by this session                                                    0                0
May-14 17:00:40                0 IPC CPU used by this session                                                    0                0
May-14 17:00:40                0 IPC CPU used by this session                                                    0                0
May-14 17:00:40        3,861,888 CPU used by this session                                                        0       -3,861,888
May-14 18:00:54        3,941,319 CPU used by this session                                                        0       -3,941,319
May-14 18:00:54                0 IPC CPU used by this session                                            3,975,150        3,975,150
May-14 18:00:54        3,941,319 CPU used by this session                                                        0       -3,941,319
May-14 18:00:54        3,941,319 CPU used by this session                                                3,975,150           33,831
May-14 18:00:54                0 global enqueue CPU used by this session                                         0                0
May-14 18:00:54                0 global enqueue CPU used by this session                                         0                0
May-14 18:00:54                0 global enqueue CPU used by this session                                         0                0
May-14 18:00:54                0 global enqueue CPU used by this session                                 3,975,150        3,975,150
May-14 18:00:54                0 gc CPU used by this session                                                     0                0
May-14 18:00:54                0 gc CPU used by this session                                                     0                0
May-14 18:00:54                0 gc CPU used by this session                                                     0                0
May-14 18:00:54                0 gc CPU used by this session                                             3,975,150        3,975,150
May-14 18:00:54                0 IPC CPU used by this session                                                    0                0
May-14 18:00:54                0 IPC CPU used by this session                                                    0                0
May-14 18:00:54                0 IPC CPU used by this session                                                    0                0
May-14 18:00:54        3,941,319 CPU used by this session                                                        0       -3,941,319
May-14 19:00:09        3,975,150 CPU used by this session                                                        0       -3,975,150
May-14 19:00:09                0 IPC CPU used by this session                                            4,214,989        4,214,989
May-14 19:00:09        3,975,150 CPU used by this session                                                        0       -3,975,150
May-14 19:00:09        3,975,150 CPU used by this session                                                4,214,989          239,839
